price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
385000,29622,Bratislava II Ružinov,Vajnorská,130,,False,novostavba,Novostavba,3 izbový byt,predaj,False,False,,,
380000,49352,Bratislava V Petržalka,Ulica závodu Matador,77,6/0,True,novostavba,Novostavba,3 izbový byt,predaj,False,False,zmiešaný,77,
113000,37672,Žilina,Kvačalova,30,,False,novostavba,Novostavba,Garsónka,predaj,False,False,,,
256000,41972,Vysoké Tatry,Dolný Smokovec,61,1/0,False,novostavba,Novostavba,Apartmán,predaj,True,False,,,
115500,15612,Nové Zámky časť Juh,JUH,74,,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,False,panel,,
139990,20292,Vrútky,1. čsl. brigády,69,3/0,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,False,panel,69,
165800,39712,Bratislava II Ružinov časť Nivy,Miletičova,41,0/4,False,čiastočná rekonštrukcia,,1 izbový byt,predaj,False,True,tehla,,
139000,18692,Janíky časť Horné Janíky,Horné Janíky,74,,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
,,Nitra časť Staré Mesto,Janka Kráľa,74,,False,kompletná rekonštrukcia,,3 izbový byt,predaj,False,False,,,
244800,37662,Bratislava II Ružinov časť Pošeň,Jašíkova,65,,False,čiastočná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
320000,40512,Bratislava III Nové Mesto časť Pasienky / Kuchajda,Družstevná,79,2/6,True,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,True,tehla,,
199990,32172,Bratislava III Vajnory,Pri starom letisku,62,2/4,True,kompletná rekonštrukcia,,3 izbový byt,predaj,True,False,panel,,
189000,35572,Bratislava V Petržalka,Černyševského,53,,False,čiastočná rekonštrukcia,,2 izbový byt,predaj,False,False,,,
182000,42332,Bratislava III Nové Mesto časť Pasienky / Kuchajda,Junácka,43,1/7,True,novostavba,Novostavba,2 izbový byt,predaj,True,False,železobetón,,
388000,30552,Bratislava II Vrakuňa,Magnóliová,127,0/2,False,novostavba,Novostavba,5 izbový byt a viac,predaj,False,False,tehla,280,153
228000,31542,Bratislava V Petržalka,Pečnianska,72,,False,čiastočná rekonštrukcia,,3 izbový byt,predaj,True,True,,,
