price,price_for_m2,locality,street,usable_area,floor,elevator,state,state_of_real_estate,real_estate_type,type_of_ownership,balcony,basement,material,land,build_up_area
406000,34422,Bratislava II Vrakuňa,Begóniová,117,,False,,Novostavba,Rodinný dom,predaj,False,False,,184,84
337000,24602,Orechová Potôň,,137,,False,,Novostavba,Rodinný dom,predaj,False,False,,670,200
287000,27602,Šenkvice,Modranská,104,,False,,Novostavba,Rodinný dom,predaj,False,False,,612,
259000,,Lehnice,Sása,,,False,,Novostavba,Rodinný dom,predaj,False,False,,541,
299500,28252,Rovinka,Pivonkova,106,,False,,Novostavba,Rodinný dom,predaj,False,False,,,
369900,32172,Kvetoslavov,Nová Tulipa,115,,False,,Novostavba,Rodinný dom,predaj,False,False,,600,170
355000,10762,Bratislava II Ružinov,Revolučná,330,,False,,,Rodinný dom,predaj,False,False,,158,
123000,10252,Smolinské,Smolinské,120,,False,,,Rodinný dom,predaj,False,False,,438,
234000,20532,Hôrka nad Váhom,,114,,False,,Novostavba,Rodinný dom,predaj,False,False,,471,175
280000,14892,Zvolen,J. Jesenského,188,,False,,,Rodinný dom,predaj,False,False,,408,
179000,22662,Nitra,,79,,False,,Novostavba,Rodinný dom,predaj,False,False,,,
369000,26172,Bratislava II Vrakuňa,Rebarborová,141,,False,,Novostavba,Rodinný dom,predaj,False,False,,406,80
238000,15872,Vysoká pri Morave,Robotnícka,150,,False,,,Rodinný dom,predaj,False,False,,350,
269900,28112,Piešťany,,96,,False,,Novostavba,Rodinný dom,predaj,False,False,,409,
267900,22902,Piešťany,,117,,False,,Novostavba,Rodinný dom,predaj,False,False,,291,69
24400,488002,Brezno časť Brezno mesto,Kuľbová,50,,False,,,"Chata, drevenica, zrub",predaj,False,False,,,18
,,Šamorín časť Mliečno,Prvá 121/33,260,,False,,,Rodinný dom,predaj,False,False,,1800,
,,Vysoké Tatry časť Starý Smokovec,.,160,,False,,Novostavba,Rodinný dom,predaj,False,False,,980,134
379000,42242,Chorvátsky Grob,Chorvátska,89,,False,,Novostavba,Rodinný dom,predaj,False,False,,421,132
89000,11132,Gelnica,Lesná,80,,False,,,Rodinný dom,predaj,False,False,,801,
479000,41612,Chorvátsky Grob,Chorvátska,115,,False,,Novostavba,Rodinný dom,predaj,False,False,,,166
165000,310732,Jablonové,,531,,False,,,Rodinný dom,predaj,False,False,,531,
379000,31852,Slovenský Grob,,119,,False,,,Rodinný dom,predaj,False,False,,520,145
125000,98192,Žiar nad Hronom,,1273,,False,,,Rodinný dom,predaj,False,False,,1273,
199900,349412,Domaniža,,572,,False,,Novostavba,Rodinný dom,predaj,False,False,,572,141
770000,475312,Limbach,,1620,,False,,Novostavba,Rodinný dom,predaj,False,False,,1620,170
60000,47692,Horné Štitáre,,1258,,False,,,Vidiecky dom,predaj,False,False,,,
129900,866002,Suchá nad Parnou,,150,,False,,,Rodinný dom,predaj,False,False,,806,150
119900,52592,Bánovce nad Bebravou,,2280,,False,,,Rodinný dom,predaj,False,False,,,
79900,159802,Lovinobaňa,,500,,False,,,Rodinný dom,predaj,False,False,,500,160
425000,589462,Limbach,,721,,False,,Novostavba,Rodinný dom,predaj,False,False,,721,174
150950,16962,Sereď,,89,,False,,,Rodinný dom,predaj,False,False,,775,95
195000,477942,Považská Bystrica,,408,,False,,Novostavba,Rodinný dom,predaj,False,False,,408,91
299000,23362,Cífer,,128,,False,,Novostavba,Rodinný dom,predaj,False,False,,455,83
79999,253972,Nové Mesto nad Váhom,,315,,False,,,Rodinný dom,predaj,False,False,,315,
380000,19492,Trakovice,,195,,False,,Novostavba,Rodinný dom,predaj,False,False,,1091,192
